,ID,DATAEN,TYPE,ISSUES,GROUPID,IDEngineTakts,ProdPhase,IDLTA,IDProject,MGMT,REPETITIVE,CLOSING_DATE,Deleted,WorkedTime,IDEnginePL,IDSUBASSEMBLYACTIVITY,EBID.ID,IDISSUE,dataupdate,CAUSES,SOLUTIONS,IDResponsible,DUEDATE,STATUS_P,STATUS_D,STATUS_C,STATUS_A,LONG_TERM_ACTION,IDDevice,ExpirationDate,OriginDept,QT,ChargedDepartment,CauseDeptGeneric,EBIDT.ID,TRISGroup,OrderGroup,IssueOrder,Location,System,Cause,TRType,IssueType,EBIDT.ChargedDepartment,VerificationResponsible,PictureBefore,PictureAfter,Status,StatusNote,InternalNotes,QuantityFactor,TimeFactor,RiskFactor,Component,IssueSubType,DateClosureAgreed,DateClosureConfirmed,IssueSubSubType,ClosedAccepted,ClosurePhotoNeeded,ShipyardCheck,CommentNotCA,QT09,VOR,ImplementationNote,MeasureTaken,CauseDepartment,QTChecked,QTDeviceID,UpdateNumber,ResolutionOrder,ItemLongText,TaskLongText,TaskOwner,TaskOwnerSAP,DATA,PP,RESPONSIBLE,Magnitude,EngineNr,IDEngineProduction,TAKT_Nr,Activity_Nr,EngineType
10,15,2017-02-16,L4,MATERIALE MANCANTE,3.0,1234.0,,,,0,0,2017-02-20,0,0.0,,,52,15,2017-02-20 09:32:25,FORNITURA IN RITARDO NARNEW,ARRIVATO 16/2...IN ATTESA CONSEGNA MAGAZZINO,195.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/02/2017,HP, GAMBAR/PETRONIO,,PAAE315651  p125,73.0,12,3,W18V50
11,16,2017-02-16,L4,MANCA OIL PIPE PAAE 175519,3.0,1718.0,,,,0,0,2017-02-20,0,0.0,,,50,16,2017-02-20 09:07:50,IN RITARDO FORNITURA NARNEW,ARRIVATO 16/2... IN ATTESA CONSEGNA MAGAZZINO/COLLAUDO,195.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/02/2017,AA, GAMBAR/PETRONIO,,PAAE315648  p122,76.0,3,3,W18V50
12,17,2017-02-16,S1,MODULO DISPONIBILE ALLE ORE 17.15,3.0,1616.0,,,,0,0,2017-02-17,0,0.0,,,43,17,2017-02-17 09:00:58,SCARICO IN RITARDO,,193.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/02/2017,AA, FARCI/ABATE,,PAAE315649  p123,77.0,4,T,W18V50
13,18,2017-02-16,T,ORE 17.15 GRU IMPEGNATE DA TEST RUN,3.0,1593.0,,,,0,0,2017-02-17,0,0.0,,,44,18,2017-02-17 09:02:17,CAUSA RITARDO SCARICO,ACCORDARSI IN TEMPO PER LE MOVIMENTAZIONI CON LE GRU GRANDI,193.0,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/02/2017,AA, FARCI/ABATE,,PAAE315649  p123,77.0,1,1,W18V50
14,19,2017-02-16,R1,TAKT NON COMPLETATO,3.0,1238.0,,,,0,0,2017-02-20,0,0.0,,,51,19,2017-02-20 09:31:59,,,20.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/02/2017,HP, Giurissevich,,PAAE315651  p125,73.0,13,T,W18V50
15,20,2017-02-17,L2,STRAIGHT UNION 006790780 CONSEGNATO IN UFFICIO CAUSA GOMMA INTERNA DEFORMATA.,3.0,1718.0,,,,0,0,2017-02-24,0,0.0,,,60,20,2017-02-24 09:22:04,,CHIAMARE COLLAUDO PER SOSTITUZIONE,196.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/02/2017,AA, SEAMETAL/T.LEADER,,PAAE315648  p122,76.0,3,3,W18V50
16,21,2017-02-17,L1,LE SOLITE ASOLE SULLE COPERTURE,3.0,1593.0,,,,0,0,2017-02-21,0,0.0,,,53,21,2017-02-21 09:01:26,GIA DISCUSSO,MOMENTANEAMENTE ASOLARE...IN ATTESA DI V2  (10),7.0,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/02/2017,AA, COLLAUDO,,PAAE315649  p123,77.0,1,1,W18V50
17,22,2017-02-21,L1,VITI VOLANO DA RETTIFICARE,3.0,1261.0,,,,0,0,2017-02-21,0,0.0,,,55,22,2017-02-21 11:59:27,ORGANIZZAZIONE DITTA SAIPH,IN ARRIVO...,197.0,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/02/2017,HP, DITTA SAIPH,,PAAE315651  p125,73.0,17,3,W18V50
18,23,2017-02-21,L1,MANCANO ANCORA I TUBI OLIO SOTTO LA TURBINA,3.0,1658.0,,,,0,0,2017-02-24,0,0.0,,,58,23,2017-02-24 09:05:51,,VEDI PUNTO DEL 15/2.,,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/02/2017,AA, ,,PAAE315649  p123,77.0,12,4,W18V50
19,24,2017-02-22,R1,"COPERTURE TURBINA DANNEGGIATE PRIMA DI ARRIVARE IN REPARTO. PROBABILMENTE DURANTE IL SOLLEVAMENTO DEL MODULO IN HP.
SEGNATO A MAIO E COLLAUDO (VEDI FOTO-MAIO). 
",3.0,1824.0,,,,0,0,2017-03-07,0,0.0,,,85,24,2017-03-07 09:13:41,IMBRAGO ERRATO.,CAMBIARE IL TIPO DI IMBRAGO.,191.0,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/02/2017,AA, Capi,,PAAE315651  p125,81.0,3,T,W18V50
20,26,2017-02-27,R1,MANCANZA DI PERSONALE FINO ALLE 15.30,3.0,1932.0,,,,0,0,2017-02-28,0,0.0,,,68,26,2017-03-01 12:57:54,,INIZIATO ALLE 15.30...TERMINATO 28/2 IN PRIMO TURNO,20.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2017,HP, Giurissevich,,PAAE321945   P114,83.0,2,8,W18V50DF
21,27,2017-03-01,L4,MANCA SUPPORT PAAR071805,3.0,1867.0,,,,0,0,2017-03-08,0,0.0,,,91,27,2017-03-08 09:08:06,MATERIALE CONSEGNATO  IN HP INVECE CHE IN MONTAGGIO,DA RIVEDERE SETTAGGIO,199.0,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/03/2017,AA, METODISTI,,PAAE315651  p125,81.0,11,2,W18V50
22,28,2017-03-01,L4,MANCA SUPPORT PAAR 021382,3.0,1910.0,,,,0,0,2017-03-07,0,0.0,,,84,28,2017-03-07 09:12:55,,DA CONTROLLARE,54.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/03/2017,AA, Macorini,,PAAE315651  p125,81.0,20,3,W18V50
23,29,2017-03-01,L2,Le camme sui pallet sono state invertite con fila A e B,3.0,1953.0,,,,0,0,2017-03-02,0,0.0,,,70,29,2017-03-02 09:23:14,Sbaglio del magazziniere,"Tutto lo spostamento dei pallet Ã¨ stato eseguito dai stessi lavoratori in HP1. Con questa operazione abbiamo avuto una perdita di tempo.
",71.0,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/03/2017,HP, Petronio,,PAAE321945   P114,83.0,6,1,W18V50DF
24,30,2017-03-02,L4,MANCA T UNION PAAR 226135,3.0,1841.0,,,,0,0,2017-03-06,0,0.0,,,82,30,2017-03-06 09:15:07,,/IN ATTESA FORNITURA...ENTRO 7/2,67.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/03/2017,AA, Gambar,,PAAE315651  p125,81.0,6,1,W18V50
25,31,2017-03-03,R1,MANCANZA PERSONALE PER SVOLGERE IL TAKT,3.0,1966.0,,,,0,0,2017-03-03,0,0.0,,,94,31,2017-03-08 09:32:52,,FERMO IN SECONDO TURNO,20.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/03/2017,HP, Giurissevich,,PAAE321945   P114,83.0,8,1,W18V50DF
26,32,2017-03-06,R1,ATTIVITA NON COMPLETATA,3.0,1986.0,,,,0,0,2017-03-08,0,0.0,,,93,32,2017-03-08 09:32:38,,COMPLETATO IN SECONDO TURNO,4.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/03/2017,HP, TEAM LEADER,,PAAE321945   P114,83.0,11,4,W18V50DF
27,33,2017-03-08,L1,PROVA,3.0,1918.0,,,,0,0,2017-03-08,0,0.0,,,95,33,2017-03-08 09:33:14,,,15.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/03/2017,HP, Cipolat,,PAAE321945   P114,83.0,1,2,W18V50DF
28,34,2017-03-08,M,MANCA LA TAVOLA SUL LIBRO MOTORE,3.0,2323.0,,,,0,0,2017-03-13,0,0.0,,,110,34,2017-03-13 14:30:59,TAKT  PRECEDENTEMENTE ESEGUITA IN HP,CONTROLLARE LIBRO E INFORMARE CANON,199.0,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/03/2017,AA, METODISTI,,PAAE321943  p112,87.0,6,4,W18V50DF
29,35,2017-03-08,M,MANCA LA TAVOLA SUL LIBRO MOTORE,3.0,2325.0,,,,0,0,2017-03-09,0,0.0,,,108,35,2017-03-09 09:19:06,TAKT PRECEDENTEMENTE ESEGUITA IN HP,,,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/03/2017,AA, ,,PAAE321943  p112,87.0,6,6,W18V50DF
30,36,2017-03-08,M,MANCA LA TAVOLA SUL LIBRO MOTORE,3.0,2324.0,,,,0,0,2017-03-09,0,0.0,,,107,36,2017-03-09 09:18:42,TAKT PRECEDENTEMENTE ESEGUITA IN HP,,,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/03/2017,AA, ,,PAAE321943  p112,87.0,6,5,W18V50DF
31,37,2017-03-08,L1,UN DADO DEI PISTONI FA FATICA AD AVVITARE,3.0,1994.0,,,,0,0,2017-03-09,0,0.0,,,103,37,2017-03-09 09:10:05,DIFETTO DI LAVORAZIONE,"AVVISATO MAHNIC, DA SOSTITUIRE DADO E MONTARE SUL A4    IL DADO e stato pulito con il maschio.",75.0,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/03/2017,HP, MAHNIC,,PAAE321945   P114,83.0,13,T,W18V50DF
32,38,2017-03-08,L2,IL TUBO 0035K185700 E ARRIVATO SBAGLIATO,3.0,2004.0,,,,0,0,2017-03-09,0,0.0,,,104,38,2017-03-09 09:10:34,SBAGLIO DI MAGAZZINO,TIRARE GIU IL CESTO E VERIFICARE CONTENUTO   sostituito il tubo da atm,200.0,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/03/2017,HP, ATM,,PAAE321945   P114,83.0,15,1,W18V50DF
33,39,2017-03-08,L1,NON SI RIESCE A MONTARE IL PART.18 BRAKET COMP.PAAF409709 CAUSA ECCEDENZA DI FUSIONE SU INCASTELLATURA,3.0,2325.0,,,,0,0,2017-03-09,0,0.0,,,105,39,2017-03-09 09:17:10,ECCEDENZA DI FUSIONE,CHIAMATO SIG COCIANI AVVERTITO SIG DELDIN DECISO ASPORTAZIONE DA PARTE SEA METAL SU INCASTELLATURA  QE-2117427,201.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/03/2017,AA, DELDIN,,PAAE321943  p112,87.0,6,6,W18V50DF
34,40,2017-03-09,L4,"MANCA WATER SEPARATOR PAAF377931
",3.0,2325.0,,,,0,0,2017-03-09,0,0.0,,,106,40,2017-03-09 09:18:15,MATERIALE  CONSEGNATO IN HP,VERIFICARE SE Ã¨ RIMASTO IN HP.,191.0,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/03/2017,AA, Capi,,PAAE321943  p112,87.0,6,6,W18V50DF
35,41,2017-03-09,L4,MANCA TUBO TRA PILOTINE 0035K186800,3.0,2004.0,,,,0,0,2017-03-09,0,0.0,,,109,41,2017-03-09 13:52:22,,PRELEVATO CIPOLAT DA ATM,,G,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/03/2017,HP, ,,PAAE321945   P114,83.0,15,1,W18V50DF
36,42,2017-03-14,L1,PROVA,3.0,2893.0,,,,0,0,2017-03-14,0,0.0,,,111,42,2017-03-14 13:55:59,,,,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/03/2017,HP, ,,PAAE327375,94.0,4,4,W18V50DF
37,43,2017-03-15,L4,MANCANO TUBI OLIO PAAE 176979 PAAE 157870 PAAE 157918,3.0,2987.0,,,,0,0,2017-03-24,0,0.0,,,193,43,2017-03-24 12:15:01,,"FORNITURA NARNEW IN RITARDO...ARRIVO ENTRO WEEK11
ARRIVATI  23/3 IN POSTAZIONE",67.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2017,AA, Gambar,,PAAE321945   P114,95.0,3,3,W18V50DF
38,44,2017-03-15,L4,MANCANDO I TRE TUBI OLIO DELLA TAKT 3.3 NON SI POSSONO MONTARE I TUBI DI LUBRIFICAZIONE DEL MODULO TURBO,3.0,2988.0,,,,0,0,2017-03-24,0,0.0,,,194,44,2017-03-24 12:15:37,,"IN ATTESA FORNITURA
ATTIVITÃ  COMPLETATA 24/3",67.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2017,AA, Gambar,,PAAE321945   P114,95.0,3,4,W18V50DF
39,45,2017-03-15,L2,SUPPORTO PT 311 CON I FORI DEL SENSORE FATTI NEL SENSO SBAGLIATO ,3.0,2780.0,,,,0,0,2017-03-17,0,0.0,,,121,45,2017-03-17 09:17:17,,SOSTITUIRE COMPONENTE,54.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/03/2017,AA, Macorini,,PAAE321944  p113,93.0,6,8,W18V50DF
40,46,2017-03-16,L4,SIAMO COSTRETTI A RISMONTARE IL VOLANO PERCHE LA COLONNA DELLA RUOTA INTERMEDIA NON RIESCE A PASSARE,3.0,3102.0,,,,0,0,2017-03-23,0,0.0,,,171,46,2017-03-23 09:43:32,"CAUSA RUOTA MANCANTE INTERMEDIA FILA B.
","LA RUOTA E' ARRIVATA OGGI 16/03 POMERIGGIO,
LA COLONNA E SUL BANCO NOSTRO, IL RESTO DEL MATERIALE Ã¨ ANCORA IN REP. INCASTELLATURE, MAIO SA.",14.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2017,HP, Maio,,PAAE303842  P111,96.0,3,5,W12V46F
41,47,2017-03-16,L1,MANCANTI I FLESSIBILI PAAR023870 E PAAR006928 DELL IMPIANTO CHE COMANDA LA WG,3.0,3085.0,,,,0,0,2017-04-03,0,0.0,,,337,47,2017-04-03 13:48:32,,VERIFICARE A MAGAZZINO,15.0,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2017,HP, Cipolat,,PAAE303842  P111,96.0,1,3,W12V46F
42,48,2017-03-16,L1,"IL DISEGNO DAAF355530 E' UN MODELLO VECCHIO, SUGLI F DOBBIAMO MONTARE UN ALTRO TIPO DI IMPIANTO.",3.0,3085.0,,,,0,0,2017-03-23,0,0.0,,,169,48,2017-03-23 09:42:19,,"INTERPELLARE BERTUZZI PER CHIARIRE LA SITUAZIONE, CASOMAI GLIELO SPIEGO A VOCE.",81.0,C,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2017,HP, Bertuzzi,,PAAE303842  P111,96.0,1,3,W12V46F
43,49,2017-03-17,L1,MANCANZA INDICE,3.0,3493.0,,,,0,0,2017-03-17,0,0.0,,,122,49,2017-03-17 09:44:14,NON MONTATO IN HP,PRELEVATO,202.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2017,AA, ELVINO,,PAAE299765  P112,100.0,1,3,W12V46F
44,50,2017-03-18,L4,PT700 MANCANTE,3.0,3499.0,,,,0,0,2017-03-27,0,0.0,,,201,50,2017-03-27 09:04:08,ERRORE DI DESIGN,COMPONENTI IN COSTRUZIONE...ARRIVATO 27/3,54.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/03/2017,AA, Macorini,,PAAE299765  P112,100.0,2,3,W12V46F
45,51,2017-03-20,L4,MANCANTI 4 SPINE ELASTICHE PAAC001902 PER SPINARE VIRATORE E PIASTRA,3.0,3418.0,,,,0,0,2017-03-28,0,0.0,,,232,51,2017-03-28 09:44:24,SMARRIMENTO,PRELEVARE 4 SPINE,15.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/03/2017,HP, Cipolat,,PAAE317345  P.111,99.0,3,8,W18V50SG
46,52,2017-03-20,L4,SU QUESTO MOTORE MONTIAMO UN MOTORINO ELETTRICO NON CONFORME,3.0,3419.0,,,,0,0,2017-03-24,0,0.0,,,191,52,2017-03-24 12:10:52,IL SUO MOTORINO NON Ã¨ DISPONIBILE,MONTIAMO UNO A CASO SOLO PER POTER LAVORARE MA SARA' DA SOSTITUIRLO QUANDO ARRIVA IL SUO.,203.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/03/2017,HP, MACORINI BRUNO,,PAAE317345  P.111,99.0,3,9,W18V50SG
47,53,2017-03-21,L1,MANCANO LE VITI M20*100 10.9 PAAC 002010,3.0,3434.0,,,,0,0,2017-03-24,0,0.0,,,192,53,2017-03-24 12:11:50,,"MONTIAMO,PROVVISORIAMENTE LE VITI M20*100 8.8 PAAC000550,SI TROVANO IN MONTAGGIO MAK5-6-7
ARRIVATE VITI CORRETTE, SOSTITUITE",208.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/03/2017,HP, TEAM LEADER/CAPI,,PAAE317345  P.111,99.0,6,3,W18V50SG
48,54,2017-03-21,T,LE SELLE DELLE CAMME NON SONO COMPATIBILI PER IL SOLLEVAMENTO CON I NOSTRI ATTREZZI. TAKT NON COMPLETATO,3.0,3434.0,,139.0,167.0,0,0,2017-03-28,0,0.0,,,6712,54,2017-11-16 12:32:43,,SOLLEVATE LE CAMME UNA AD UNA CON LA BRAGA E POI CON L'ATTREZZO PRESO IL CAMME E MONTATO.,2.0,C,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/03/2017,HP, MEE,,PAAE317345  P.111,99.0,6,3,W18V50SG
49,55,2017-03-21,L2,MANCA L'END-COVER 0016C027200. ,3.0,3796.0,,,,0,0,2017-03-22,0,0.0,,,142,55,2017-03-22 09:39:22,SONO ARRIVATI 2 END-COVER 0016C028300. UNO Ã¨ SPROVVISTO DI ADESIVO IDENTIFICATIVO ATM.,"PROBABILE SBAGLIO DI MAGAZZINO,  il turno di fontanot ha procurato un pezzo giusto, rimane in avanzo il doppione",71.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/03/2017,HP, Petronio,,PAAE327376  P112,98.0,9,3,W18V50DF
50,56,2017-03-21,T,"LA PLARAD NON SERRA A DOVERE LE VITI,LA VITE HA UNA ROTAZIONE MINORE DELLO STANDARD. RIVEDERE IL SERRAGGIO DEL CAMME LATO B.",3.0,3795.0,,,,0,0,2017-03-22,0,0.0,,,143,56,2017-03-22 09:39:49,,DA MANDARE LA PLARAD IN MANUTENZIONE.,1.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/03/2017,HP, CAPO TURNO,,PAAE327376  P112,98.0,9,2,W18V50DF
51,57,2017-03-22,L2,STAFFA PT 311 CON FORATURA ERRATE,3.0,3009.0,,,,0,0,2017-03-27,0,0.0,,,202,57,2017-03-27 09:07:06,,SOSTITUIRE STAFFA E FAR CONTROLLARE PEZZI A MAGAZZINO...OK  27/3,54.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/03/2017,AA, Macorini,,PAAE321945   P114,95.0,6,8,W18V50DF
52,58,2017-03-22,L1,NON ESEGUIBILE FINO ALL'ARRIVO DEI MATERIALI MANCANTI TUBI OLIO LUBRIFICAZIONE TAKT 3,3.0,3005.0,,,,0,0,2017-03-24,0,0.0,,,196,58,2017-03-24 12:16:21,,"ARRIVO TUBAZIONI  22/3
TUBI ARRIVATI IN POSTAZIONE  23/3",67.0,U,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/03/2017,AA, Gambar,,PAAE321945   P114,95.0,6,4,W18V50DF
